"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Midazolam|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Hydroxy-Itraconazole|Plasma Unbound [µmol/l]","Organism|ArterialBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Itraconazole|Plasma Unbound [µmol/l]","Organism|ArterialBlood|Plasma|Midazolam|Concentration in container [µmol/l]","Organism|ArterialBlood|Plasma|Midazolam|Plasma Unbound [µmol/l]","Organism|ArterialBlood|BloodCells|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|BloodCells|Itraconazole|Concentration in container [µmol/l]","Organism|ArterialBlood|BloodCells|Midazolam|Concentration in container [µmol/l]","Organism|ArterialBlood|Hydroxy-Itraconazole|Whole Blood [µmol/l]","Organism|ArterialBlood|Itraconazole|Whole Blood [µmol/l]","Organism|ArterialBlood|Midazolam|Whole Blood [µmol/l]","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Midazolam|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0.00736124,4.576461,13.78133,0.03280467,3.20807,12.8489,0.02942309,0.001066712,3.294737,0.01904033,13.43422,0.2149476,0.00190143,11.4775,3.672184,0.01648791,7.140634,8.846065,0,0,0
0,6,0.03505512,2.925976,9.648874,0.0776551,2.25005,9.6124,0.07408065,0.00268574,2.347589,0.01356675,9.890229,0.1582437,0.008271439,9.546337,2.704602,0.04315032,5.731,6.512984,0,0,0
0,9,0.07143861,2.149514,7.419714,0.120258,1.804581,7.396247,0.1166839,0.004230289,1.878392,0.01085525,7.553371,0.1208539,0.0175822,7.776833,2.065836,0.0701061,4.650659,4.97423,0,0,0
0,12,0.1099856,1.720249,6.128723,0.1600981,1.547686,6.126025,0.156639,0.005678833,1.598758,0.009239245,6.215494,0.0994479,0.02844276,6.469608,1.700093,0.09638679,3.888057,4.093255,0,0,0
0,15,0.147837,1.453258,5.375594,0.1969409,1.375334,5.379863,0.1936618,0.007021068,1.410337,0.008150358,5.433105,0.08692967,0.03984176,5.543032,1.48619,0.1213664,3.352704,3.578055,0,0,0
0,18,0.18372,1.272559,4.92173,0.2307248,1.247648,4.922011,0.2276594,0.008253625,1.272272,0.007352482,4.955149,0.07928238,0.05114179,4.879492,1.355509,0.1446961,2.967666,3.263318,0,0,0
0,21,0.217083,1.14197,4.634407,0.2614847,1.146653,4.62668,0.2586476,0.009377081,1.164786,0.006731314,4.648465,0.07437544,0.06196977,4.388922,1.271651,0.166209,2.68013,3.061362,0,0,0
0,24,0.2477207,1.042397,4.441026,0.2893104,1.06313,4.424394,0.286705,0.01039428,1.07723,0.006225327,4.439632,0.07103411,0.07212261,4.011293,1.214543,0.1858513,2.456239,2.92384,0,0,0
0,27,0.2755984,0.9628704,4.301444,0.3143269,0.9917651,4.276242,0.3119496,0.0113095,1.003345,0.005798347,4.287698,0.06860317,0.08150069,3.70845,1.172992,0.2036386,2.274745,2.823786,0,0,0
0,30,0.3007718,0.8968239,4.192999,0.3366785,0.9293048,4.159707,0.3345213,0.01212783,0.9392822,0.005428126,4.16892,0.06670272,0.09006631,3.45631,1.140505,0.2196275,2.122285,2.745565,0,0,0
