"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Hydroxy-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Keto-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|N-desalkyl-Itraconazole|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Hydroxy-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|Keto-Itraconazole|Concentration in container [µmol/l]","Organism|VenousBlood|Plasma|N-desalkyl-Itraconazole|Concentration in container [µmol/l]","Organism|Lumen|Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Hydroxy-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|Keto-Itraconazole|Fraction of oral drug mass absorbed into mucosa","Organism|Lumen|N-desalkyl-Itraconazole|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4.267574E-07,3.418703E-09,1.046878E-10,7.449514E-12,3.697609E-06,4.764042E-08,1.635187E-09,2.270387E-10,9.222865E-05,0,0,0
0,6,1.045131E-05,3.632376E-07,1.477575E-08,1.892377E-09,3.861534E-05,1.937327E-06,8.428009E-08,1.970185E-08,0.0004564895,0,0,0
0,9,5.42249E-05,3.648199E-06,1.60328E-07,3.017072E-08,0.0001380153,1.255884E-05,5.825841E-07,1.852354E-07,0.001131178,0,0,0
0,12,0.0001605211,1.586265E-05,7.17641E-07,1.756661E-07,0.000330468,4.220815E-05,2.00572E-06,7.828573E-07,0.002131439,0,0,0
0,15,0.0003561879,4.543712E-05,2.07948E-06,6.158477E-07,0.0006394226,0.0001019592,4.890051E-06,2.211053E-06,0.003463612,0,0,0
0,18,0.0006635658,0.0001018142,4.67678E-06,1.599255E-06,0.00108085,0.0002024159,9.730938E-06,4.914405E-06,0.005090725,0,0,0
0,21,0.001098006,0.0001943275,8.923186E-06,3.413407E-06,0.001664777,0.0003526992,1.693311E-05,9.325358E-06,0.007040686,0,0,0
0,24,0.001671927,0.0003314622,1.51791E-05,6.349534E-06,0.002402845,0.0005607801,2.682687E-05,1.582562E-05,0.009320559,0,0,0
0,27,0.002396118,0.0005210888,2.376538E-05,1.068035E-05,0.003303542,0.0008343631,3.972058E-05,2.475227E-05,0.01192577,0,0,0
0,30,0.003278945,0.0007706516,3.497479E-05,1.665376E-05,0.004372836,0.001180668,5.589043E-05,3.640161E-05,0.01485031,0,0,0
0,33,0.004326388,0.001087127,4.907011E-05,2.449048E-05,0.005614613,0.001606315,7.557417E-05,5.102654E-05,0.0180872,0,0,0
0,36,0.005542188,0.001476912,6.62796E-05,3.438016E-05,0.007029535,0.002117261,9.896925E-05,6.883311E-05,0.02157323,0,0,0
0,39,0.006922252,0.001945738,8.679358E-05,4.648211E-05,0.008596078,0.002717948,0.0001261973,8.997615E-05,0.02512551,0,0,0
0,42,0.008447916,0.002497229,0.0001107018,6.091209E-05,0.01028944,0.003408136,0.0001571518,0.0001145006,0.02877109,0,0,0
0,45,0.0100998,0.003131868,0.0001379455,7.771466E-05,0.01209615,0.004184906,0.000191595,0.000142312,0.03254647,0,0,0
0,48,0.01186479,0.0038484,0.0001683899,9.685657E-05,0.01400994,0.005045923,0.0002293316,0.0001732424,0.03647927,0,0,0
0,51,0.01373594,0.004645594,0.0002019108,0.0001182554,0.01602923,0.005990358,0.0002702535,0.0002071223,0.04059002,0,0,0
0,54,0.01571074,0.005522985,0.000238427,0.0001418147,0.0181552,0.007018674,0.0003143211,0.0002438135,0.04489344,0,0,0
0,57,0.0177895,0.006480968,0.0002778999,0.0001674457,0.02039051,0.008132299,0.0003615411,0.0002832145,0.04939948,0,0,0
0,60,0.01997414,0.007520728,0.0003203264,0.0001950776,0.02273837,0.009333333,0.0004119489,0.0003252585,0.0541142,0,0,0
0,63,0.02226726,0.008644046,0.0003657281,0.0002246605,0.02520193,0.01062427,0.000465594,0.0003699053,0.05904052,0,0,0
0,66,0.02467149,0.009853094,0.0004141399,0.0002561623,0.02778395,0.01200778,0.0005225282,0.0004171311,0.06417887,0,0,0
0,69,0.02718909,0.01115027,0.000465602,0.0002895651,0.0304866,0.0134866,0.0005828004,0.0004669208,0.06952763,0,0,0
0,72,0.02982173,0.01253804,0.0005201557,0.0003248567,0.03330939,0.01506336,0.0006464547,0.0005192623,0.07502842,0,0,0
0,75,0.03256497,0.01401874,0.0005778339,0.0003620285,0.03623542,0.01673967,0.0007134916,0.0005741376,0.08056943,0,0,0
0,78,0.03540521,0.01559331,0.0006386142,0.0004010658,0.03924883,0.01851395,0.0007837756,0.0006314866,0.08617634,0,0,0
0,81,0.03832952,0.01726073,0.0007023927,0.0004419294,0.04234092,0.02038295,0.0008571012,0.0006911901,0.09187374,0,0,0
0,84,0.04132947,0.01901882,0.0007690242,0.0004845488,0.0455078,0.02234366,0.0009332855,0.0007530966,0.09768013,0,0,0
0,87,0.04440081,0.0208653,0.0008383684,0.0005288325,0.04874873,0.02439399,0.001012196,0.0008170538,0.1036091,0,0,0
0,90,0.04754223,0.02279845,0.0009103143,0.0005746842,0.05206476,0.02653271,0.001093748,0.0008829286,0.1096701,0,0,0
0,93,0.05075425,0.02481707,0.0009847805,0.0006220141,0.05545784,0.02875925,0.001177885,0.0009506108,0.1158694,0,0,0
0,96,0.0540383,0.02692049,0.001061708,0.0006707445,0.05893021,0.03107346,0.001264573,0.001020012,0.1222104,0,0,0
0,99,0.05739631,0.02910844,0.001141058,0.0007208104,0.06248404,0.03347547,0.001353791,0.00109106,0.1286942,0,0,0
0,102,0.0608301,0.0313809,0.001222802,0.000772159,0.06612108,0.03596554,0.001445521,0.001163699,0.1353198,0,0,0
0,105,0.06434114,0.03373798,0.001306917,0.0008247471,0.0698425,0.03854386,0.001539746,0.001237879,0.142085,0,0,0
0,108,0.06793044,0.03617983,0.001393382,0.0008785383,0.07364888,0.04121055,0.001636446,0.001313556,0.1489862,0,0,0
0,111,0.07159847,0.03870649,0.001482177,0.0009335004,0.07754019,0.04396555,0.001735594,0.001390689,0.1560191,0,0,0
0,114,0.07534508,0.04131791,0.001573276,0.0009896035,0.0815157,0.04680855,0.001837158,0.001469234,0.1631785,0,0,0
0,117,0.07916953,0.04401381,0.001666648,0.001046818,0.0855741,0.04973897,0.001941095,0.001549147,0.1704586,0,0,0
0,120,0.08307023,0.04679369,0.001762257,0.001105112,0.08971146,0.05275593,0.002047356,0.00163038,0.1778106,0,0,0
0,135,0.1034158,0.06188514,0.002270991,0.001411363,0.1111694,0.06902675,0.002609044,0.002053816,0.2149883,0,0,0
0,150,0.1245653,0.07862023,0.00281874,0.001736262,0.1334269,0.08687209,0.003207109,0.002496554,0.253384,0,0,0
0,165,0.1462264,0.09656061,0.003391879,0.002071514,0.1562367,0.105856,0.003828158,0.002947657,0.2930652,0,0,0
0,180,0.1681806,0.1153559,0.003980764,0.002411431,0.1793361,0.1256244,0.004462441,0.003400065,0.3336664,0,0,0
0,195,0.1900694,0.1346696,0.004576505,0.002751834,0.2023018,0.1458222,0.005100353,0.003848351,0.3746077,0,0,0
0,210,0.2114381,0.1541472,0.005169778,0.00308898,0.2246403,0.1660753,0.00573176,0.004287548,0.4154553,0,0,0
